;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta mensual media de los contratos de alquiler libre de vivienda habitual colectiva (contrato de vivienda habitual) por territorio histórico y tamaño del municipio según trimestre de inicio del contrato (euros/mes). III/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2016;;;;2017;;;;2018;;;;2019;;;;2020;;;;2021;;;;2022;;;;2023;;;;2024;;;Alquileres vigentes a 30/09/24 (*)
;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;
C.A. de Euskadi;620,38936;622,07473;634,83746;637,14386;630,28277;631,77623;644,33469;648,55146;654,99264;665,32884;679,66271;669,24181;675,74304;685,77189;697,9204;696,42068;689,77406;700,8209;715,95163;702,79258;693,77075;710,71927;721,14861;712,01403;715,55171;731,09804;749,92535;743,77815;753,41243;771,49657;794,33749;786,00747;790,67398;805,97864;824,90326;761,33
Territorio Histórico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   Araba/Álava;531,89115;538,87241;555,00827;553,40115;547,26811;551,17935;569,47765;568,73672;573,14516;587,96941;605,46239;603,00162;611,10829;616,44453;634,37085;624,14308;621,39461;636,42354;651,19198;628,34379;629,57827;644,30192;649,16472;656,28404;652,10739;671,31142;695,26255;693,33639;693,50307;711,72044;728,62662;739,52223;728,93448;735,61578;743,0916;687,9
   Bizkaia;634,40465;638,26934;650,00507;654,00001;646,05171;650,10494;659,61936;667,89017;672,87533;697,22296;699,22121;691,61715;697,48538;714,37937;724,76125;718,04035;716,23806;729,55495;746,14821;727,42415;722,42539;742,1502;744,95189;740,31633;742,37583;762,09052;778,24784;766,85535;784,50497;805,79586;833,8162;812,46042;823,92523;837,81597;859,94933;794,24
   Gipuzkoa;633,90864;634,12816;652,62459;649,53955;643,00081;643,13151;657,91012;656,80805;663,93213;663,82614;687,74006;670,72774;678,45844;685,07777;699,17101;700,36968;688,79133;694,69142;712,50275;704,39839;689,74109;703,77044;727,22609;707,21065;712,7155;725,4481;747,10038;740,59327;749,21212;765,42623;786,21993;779,17713;782,87635;801,6791;826,74401;758,32
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tamaño de municipio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   < 2.500;466,68759;473,97618;461,15385;491,09211;488,80908;485,54946;482,15625;498,59768;502,23529;480,12821;505,97095;494,84659;504,82544;525,36588;502,83053;512,29545;519,46084;524,88235;527;523,75;526,29936;527,22901;524,16456;537,27453;546,45517;550,83333;551,77483;550,98986;569,46939;574,59475;588,13846;568,632;572,57927;604,47368;589,0431;561,74
   2.500 - 5.000;551,19;510,38718;516,72593;516,95851;516,08662;512,08248;510,53488;511,10374;529,48981;516,55226;526,58406;533,13655;539,64809;542,76983;545,18321;559,75429;547,41324;567,24706;549,20556;583,96552;563,28437;584,89913;566,56778;579,90201;577,4777;579,60345;601,78733;619,02299;612,90171;615,26994;619,85287;630,70286;640,74074;656,77426;624,16529;608,56
   5.001 - 10.000;544,84312;539,66054;559,17167;561,03881;540,32893;544,65521;553,03873;549,0294;563,92244;560,72645;572,81307;558,60896;573,07935;591,66626;575,23293;586,45051;581,59737;586,87421;589,63278;580,26346;592,97716;603,32319;611,86203;614,70179;611,35519;623,70111;630,98198;635,81948;634,10434;650,05541;658,74825;670,20947;669,21212;675,93169;710,80098;643,86
   10.001 - 20.000;551,37013;555,57462;567,02662;565,13285;562,49531;556,45008;574,71154;576,89055;576,75244;582,95649;591,73867;586,90624;597,87487;601,81134;613,5014;616,2627;610,76384;611,86356;619,46021;625,01344;609,69808;630,62388;631,60612;642,11164;638,08849;643,26337;652,21817;663,64158;673,89822;677,11892;693,543;683,49314;692,724;700,77556;712,42196;672,97
   20.001 - 40.000;602,125;600,07272;604,39886;606,96181;606,03416;599,04042;615,83334;614,33393;615,68963;625,61095;628,54066;635,54609;633,20106;642,66214;642,72856;651,10562;646,2367;659,89289;660,22021;660,18459;655,75617;671,7692;661,05812;671,42459;676,13423;689,40304;682,36674;693,32651;705,37292;717,11057;743,772;739,99561;747,67171;754,1611;754,5204;719,62
   40.001 - 100.000;634,1137;629,91468;638,72759;648,09662;647,59884;654,52375;659,28137;653,63664;661,14061;673,09701;678,39088;676,8913;681,20033;689,39958;689,14824;705,4892;693,68116;697,31762;706,9351;695,51077;706,47945;709,67887;719,01793;717,36166;707,81228;723,90742;754,65272;738,66168;760,0777;774,84679;794,00112;785,44242;801,3057;812,11542;818,68826;763,07
   > 100.000;677,78394;685,20739;695,88148;706,4137;699,68385;700,79609;709,07572;726,85341;733,79118;748,11593;762,76735;758,22445;758,58096;768,04969;784,98267;790,35793;782,19842;791,34564;806,7539;791,65834;776,18077;792,49928;808,5852;790,69397;804,03764;820,19453;838,64019;840,05383;845,70469;863,95147;887,01632;894,91868;900,48462;911,19191;933,24879;853,76
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datos provisionales de contratos registrados a fecha 10/03/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(*) Se actualiza la renta mensual de los contratos de años anteriores según el incremento de IPC registrado entre la fecha de la firma del contrato y la fecha de referencia a nivel de la CAE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fuente: Gobierno Vasco. Departamento de Vivienda y Agenda Urbana. Organo estadístico. Estadística del mercado de alquiler.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
