COMARCA,2016,2017,2018,2019,2020,2021,2022,2023,2024
ALTO DEBA,470.825,488.71999999999997,499.36,523.86,536.7,537.98,559.6,596.8199999999999,581.8
ARRATIA-NERVIÃ“N,497.95000000000005,488.65,506.29999999999995,514.8,532.2,537.7,547.75,583.4,574.95
BAJO BIDASOA,603.4,614.0,657.0,667.7,675.5,692.0,730.2,771.6,745.1
BAJO DEBA,499.06666666666666,497.75,520.0,521.6,537.725,566.7333333333332,556.175,612.8000000000001,582.2
DONOSTIALDEA,636.1166666666667,648.4416666666667,676.4083333333333,698.0333333333333,703.9,721.8249999999999,750.0,796.4250000000001,776.4166666666666
DURANGUESADO,537.6,546.1800000000001,553.12,572.46,584.4,592.52,607.3399999999999,642.74,634.1400000000001
ENCARTACIONES,503.775,509.22499999999997,525.875,537.6,555.975,553.975,580.55,594.875,595.075
GERNIKA-BERMEO,479.65,482.55,507.84999999999997,521.25,526.7,544.7,568.15,594.6,586.55
GOIERRI,508.25,505.4,512.96,531.72,539.3,557.64,581.58,603.5600000000001,594.9
GRAN BILBAO,618.075,628.74375,648.45625,658.2125,671.875,681.2125,701.65625,737.1125,731.14375
LLANADA ALAVESA,481.5,504.2,536.35,553.3499999999999,554.95,563.85,594.95,629.85,614.3
MARKINA-ONDARROA,482.35,477.95,488.4666666666667,511.90000000000003,503.95000000000005,500.8,539.6666666666666,553.2666666666667,550.3333333333334
PLENTZIA-MUNGIA,683.8199999999999,681.3199999999999,703.0749999999999,724.76,724.04,744.46,787.6,798.24,797.46
TOLOSALDEA,544.3,551.7,565.3,592.8,606.45,623.0,637.9000000000001,667.8499999999999,657.1
UROLA KOSTA,585.0600000000001,593.5,614.42,627.14,645.86,680.88,702.3,724.8399999999999,712.76
