Territorio,A̱o,Precio_m2,Precio_total,Superficie_estim_m2,Var_pct_m2,Var_pct_total,Diferencia_pct
Araba,2012,2100.65,196940.0,93.75193392521362,,,
Araba,2013,2016.62,188964.5,93.70357330582857,-4.000190417251814,-4.049710571747744,0.04952015449593006
Araba,2014,1855.75,169159.75,91.15438501953388,-7.977209389969353,-10.48067229558991,2.503462905620557
Araba,2015,1667.81,167763.0,100.5887960858851,-10.127441735147514,-0.8256987847286346,-9.301742950418879
Araba,2016,1653.39,157015.25,94.96564633873436,-0.8646068796805295,-6.406507990438892,5.541901110758363
Araba,2017,1695.83,167638.25,98.85321641909862,2.5668475072426755,6.765584871533181,-4.198737364290506
Araba,2018,1748.17,165228.0,94.51483551370862,3.086394273010873,-1.437768528363903,4.524162801374776
Araba,2019,1922.18,182892.0,95.14821712846872,9.953837441438761,10.690681966736882,-0.7368445252981211
Araba,2020,2058.52,198174.5,96.2703787186911,7.092988169682335,8.35602432036393,-1.2630361506815957
Araba,2021,2114.14,202848.75,95.94858902437872,2.7019412004741117,2.3586536108328726,0.34328758964123907
Araba,2022,2267.79,207139.25,91.33969635636457,7.26773061386663,2.115122720746365,5.152607893120265
Araba,2023,2357.28,221106.75,93.79740633272245,3.946132578413364,6.7430484565334625,-2.7969158781200987
Araba,2024,2291.96,229070.0,99.9450252185902,-2.770990293898057,3.601540884663179,-6.3725311785612355
Bizkaia,2012,2867.54,247993.25,86.48292613180635,,,
Bizkaia,2013,2521.08,219383.0,87.01945198089707,-12.082133117585114,-11.536705132095326,-0.5454279854897877
Bizkaia,2014,2309.13,201503.5,87.26381797473508,-8.407111238040832,-8.149902225787775,-0.2572090122530568
Bizkaia,2015,2332.5,200141.0,85.805359056806,1.0120694807135067,-0.6761669152148708,1.6882363959283775
Bizkaia,2016,2373.06,208024.25,87.66076289685049,1.738906752411573,3.9388481120809837,-2.1999413596694106
Bizkaia,2017,2334.42,202720.5,86.83977176343588,-1.6282774139718237,-2.549582560687036,0.9213051467152122
Bizkaia,2018,2418.94,209359.25,86.54999710617047,3.620599549352721,3.274829136668478,0.34577041268424313
Bizkaia,2019,2545.31,217864.5,85.59448554400053,5.224189107625654,4.062514553333574,1.1616745542920803
Bizkaia,2020,2733.78,237037.25,86.70677596587873,7.404599046874449,8.800309366601722,-1.3957103197272724
Bizkaia,2021,2751.71,241695.5,87.8346555414633,0.6558684312563567,1.9651974531429195,-1.3093290218865627
Bizkaia,2022,2778.29,236409.5,85.0917290851567,0.9659448124984094,-2.187049407208652,3.1529942197070615
Bizkaia,2023,2805.86,234635.75,83.62347016600971,0.9923370130547893,-0.7502871077515905,1.7426241208063797
Bizkaia,2024,2890.67,244802.66666666663,84.68717171682226,3.022602695786669,4.333063766568657,-1.3104610707819875
CAE,2012,2747.91,234880.75,85.47614368738424,,,
CAE,2013,2571.85,219858.5,85.48651748741179,-6.407051177076395,-6.395692282147425,-0.011358894928970464
CAE,2014,2369.39,204741.25,86.41095387420391,-7.872154285825383,-6.875899726414946,-0.9962545594104366
CAE,2015,2335.4,200153.5,85.70416202791813,-1.4345464444434963,-2.240755099424274,0.8062086549807779
CAE,2016,2415.36,208165.25,86.18394359432962,3.4238246124860927,4.002802848813536,-0.5789782363274432
CAE,2017,2416.43,208043.75,86.09550038693445,0.04429981452038767,-0.05836709056866729,0.10266690508905496
CAE,2018,2491.92,212776.5,85.38656939227583,3.1240300774282748,2.274882086099672,0.8491479913286026
CAE,2019,2620.81,222329.25,84.83226559727719,5.172316928312304,4.489570041804436,0.6827468865078679
CAE,2020,2796.84,241276.0,86.26735887644627,6.716625776000562,8.521933123959169,-1.8053073479586068
CAE,2021,2839.0,246830.75,86.9428495949278,1.5074155117918764,2.302238929690481,-0.7948234178986047
CAE,2022,2875.14,243582.25,84.72013536732125,1.2729834448749422,-1.3160839968277882,2.5890674417027304
CAE,2023,2956.81,247215.0,83.60868638837125,2.8405573293822206,1.4913853534073152,1.3491719759749055
CAE,2024,3039.14,262756.3333333333,86.4574627471368,2.7844196955502776,6.286565674952294,-3.502145979402016
Gipuzkoa,2012,2900.73,240707.75,82.98178389577797,,,
Gipuzkoa,2013,2866.71,232727.5,81.18278444628163,-1.1728082241366788,-3.3153274042900582,2.1425191801533794
Gipuzkoa,2014,2685.0,225429.0,83.9586592178771,-6.338625113806417,-3.136071156180509,-3.2025539576259083
Gipuzkoa,2015,2555.62,210553.5,82.38842237891393,-4.818621973929238,-6.598751713399786,1.7801297394705484
Gipuzkoa,2016,2742.56,224898.75,82.00321961962545,7.314859016598718,6.8131140066538975,0.5017450099448206
Gipuzkoa,2017,2810.94,230885.5,82.13818153357951,2.493290939851822,2.6619756668278427,-0.16868472697602055
Gipuzkoa,2018,2881.68,235729.75,81.80288928680493,2.5165958718435855,2.0981178982655946,0.4184779735779909
Gipuzkoa,2019,2977.97,242861.5,81.55270200841514,3.341453596513144,3.025392425012119,0.3160611715010253
Gipuzkoa,2020,3205.69,265791.25,82.91233712554863,7.64681981349713,9.441492373225069,-1.794672559727939
Gipuzkoa,2021,3247.28,271371.75,83.56894077504865,1.2973805951292938,2.0995800275592114,-0.8021994324299175
Gipuzkoa,2022,3309.78,271810.25,82.1233586522367,1.9246877386612793,0.16158645842834218,1.763101280232937
Gipuzkoa,2023,3427.77,276812.75,80.75592878168605,3.5648895092725175,1.8404383204827734,1.724451188789744
Gipuzkoa,2024,3566.68,304035.3333333333,85.24323273557856,4.052488935955445,9.834295325389931,-5.781806389434486
