Entidad,A̱o,Solicitudes_x_1000,Poblacion_total,Solicitudes_totales
Araba,2023,45.48,332851,15138.063479999999
Bizkaia,2023,69.39,1144019,79383.47841
CAE,2023,62.66,2196745,137648.0417
Gipuzkoa,2023,59.93,719875,43142.10875
Araba,2022,37.3,330692,12334.811599999999
Bizkaia,2022,52.36,1139209,59648.98324
CAE,2022,50.71,2186517,110878.27707000001
Gipuzkoa,2022,54.29,716616,38905.08264
Araba,2021,36.91,330189,12187.275989999998
Bizkaia,2021,55.16,1144123,63109.82468
CAE,2021,52.55,2193199,115252.60744999998
Gipuzkoa,2021,55.6,718887,39970.1172
Araba,2020,35.33,330209,11666.283969999999
Bizkaia,2020,54.52,1149044,62645.878880000004
CAE,2020,51.59,2199711,113483.09049
Gipuzkoa,2020,54.38,720458,39178.50604
Araba,2019,32.37,327967,10616.29179
Bizkaia,2019,49.71,1142853,56811.222630000004
CAE,2019,46.32,2188017,101348.94744
Gipuzkoa,2019,47.32,717197,33937.76204
Araba,2018,29.8,325518,9700.4364
Bizkaia,2018,45.26,1140662,51626.36212
CAE,2018,42.47,2180449,92603.66903
Gipuzkoa,2018,43.81,714269,31292.12489
Araba,2017,27.56,323592,8918.19552
Bizkaia,2017,43.63,1139426,49713.15638
CAE,2017,40.32,2175819,87729.02208
Gipuzkoa,2017,40.86,712801,29125.04886
Araba,2016,22.75,322335,7333.12125
Bizkaia,2016,37.45,1138852,42650.00740000001
CAE,2016,34.1,2171886,74061.3126
Gipuzkoa,2016,33.89,710699,24085.58911
Araba,2015,21.98,321777,7072.65846
Bizkaia,2015,37.59,1141442,42906.80478
CAE,2015,34.1,2173210,74106.461
Gipuzkoa,2015,34.01,709991,24146.79391
Araba,2014,24.04,320032,7693.56928
Bizkaia,2014,36.69,1144214,41981.21165999999
CAE,2014,33.74,2172877,73312.86998
Gipuzkoa,2014,33.4,708631,23668.2754
Araba,2013,30.83,320266,9873.80078
Bizkaia,2013,42.55,1150792,48966.19959999999
CAE,2013,40.56,2178949,88378.17143999999
Gipuzkoa,2013,41.74,707891,29547.37034
